,Score,Score Error (99.9%),Cores,speedup,deltaSpeedUp
0,220.897579,3.265493,1,1.0,
1,144.622227,7.108572,2,1.5274109905664777,0.5274109905664777
2,130.004899,0.096057,3,1.6991481144106733,0.1717371238441956
3,131.956668,3.854576,4,1.674016041387162,-0.02513207302351117
4,131.893167,0.160732,5,1.674822009543527,0.0008059681563648002
5,133.242702,0.193041,6,1.6578587471154704,-0.016963262428056458
6,135.199553,3.980861,7,1.6338632347401325,-0.023995512375337924
7,134.876327,0.251657,8,1.6377787259879935,0.003915491247860947
8,135.330445,0.196872,9,1.632282957467553,-0.005495768520440425
9,135.799567,0.240397,10,1.6266442071939744,-0.00563875027357863
10,136.148902,0.19408,11,1.6224705139377475,-0.004173693256226851
11,136.627638,0.105991,12,1.6167854632750076,-0.005685050662739943
