T,Tseq,T1,T1 error,T6,T6 error,overhead,a_speedup
100,347.000571,5151.760314,111.082376,7619.313655,291.86163,14.84654708,0.045542235
1000,347.000571,300.560466,11.346726,195.00978,9.840727,0.866167065,1.779400864
2500,347.000571,259.85862,1.791783,159.52047,2.518609,0.748870871,2.175272998
5000,347.000571,246.89925,1.367655,145.626811,5.359181,0.711524045,2.382806906
7500,347.000571,239.704275,10.288116,138.960254,0.758191,0.690789281,2.497121019
10000,347.000571,240.34544,13.442875,138.840879,0.672435,0.692637016,2.499268036
25000,347.000571,239.523533,12.620939,136.494212,1.197196,0.690268412,2.542236524
50000,347.000571,228.566513,7.334198,134.726138,1.444525,0.658692037,2.57559948
75000,347.000571,221.152713,3.244425,133.028266,0.136938,0.637326654,2.608472481
100000,347.000571,223.273521,4.473881,133.117613,0.218585,0.643438483,2.606721704
250000,347.000571,221.14276,3.958005,134.270163,1.354764,0.637297971,2.584346092
500000,347.000571,220.674597,1.553636,133.604774,0.231703,0.635948801,2.597216855
750000,347.000571,220.509114,1.240449,133.518947,0.334531,0.635471905,2.598886366
1000000,347.000571,223.804813,2.339481,134.965138,0.119853,0.644969581,2.571038537
2500000,347.000571,230.443205,2.265563,138.776929,0.146687,0.664100363,2.500419728
5000000,347.000571,242.903554,1.794145,146.689646,0.157655,0.70000909,2.365542357
10000000,347.000571,259.285679,1.948748,160.540706,0.196966,0.747219747,2.161449141
